"Câmara dos Deputados"
"Relatório de Proposições"
"Resultado da Pesquisa"
"Proposições";"Ementa";"Explicação";"Autor";"UF";"Partido";"Apresentação";"Situação";"Link"
"SUG 21/2024 CLP";"Sugestão de emenda ao orçamento para implementação do projeto Clinica Escola do Autista nos municípios de Ipatinga, Coronel Fabriciano e Timoteo, em Minas Gerais";"";"";"";"";"03/12/2024";"Aguardando Parecer";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2474333"
"SUG 19/2024 CLP";"Sugestão de Emenda ao Orçamento para manutenção e continuidade dos Centros de Ação da OCA Escola Cultural";"";"";"";"";"02/12/2024";"Aguardando Parecer";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2473527"
"SUG 18/2024 CLP";"Sugere Emenda  ao Orçamento Federal para criação e fomento de sacolões populares e entrepostos cooperativos de consumo para que comunidades e os trabalhadores em geral tenham acesso a alimentos da agriculturafamiliar, da agroecologia e sem agrotóxicos. I";"";"";"";"";"28/11/2024";"Aguardando Parecer";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2473089"
"SUG 17/2024 CLP";"Sugestão de Projeto de Lei visando Alterar o artigo 1.831 da Lei nº. 10.406, de 10 de janeiro de 2002 (Código Civil), estendendo o Direito Real de Habitação ao filho necessitado portador de deficiência.";"";"";"";"";"28/11/2024";"Aguardando Parecer";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2473083"
"SUG 16/2024 CLP";"Sugere Projeto de Lei de proteção aos trabalhadores contra práticas anti-sindicais com dinheiro público. ";"";"";"";"";"11/11/2024";"Aguardando Parecer";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2467644"
"SUG 15/2024 CLP";"Sugestão de Requerimento de Audiência Pública para discutir medidas do Ministério da Saúde que visam à municipalização de hospitais federais no Rio de Janeiro e o ""fatiamento"" da Rede, sem respeito ao Controle Social.";"";"";"";"";"30/10/2024";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2465309"
"SUG 14/2024 CLP";"Sugere Projeto de Lei que dispõe sobre a organização da Polícia Rodoviária Federal.";"";"";"";"";"16/09/2024";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2458338"
"SUG 13/2024 CLP";"Institui a Lei Orgânica da Segurança Privada - LOSEP, Extingue a Nomenclatura Vigilante e cria o Agente de Segurança Privada  - AGESP, e altera as leis,Leis nºs 10.826, de 22 de dezembro de 2003, 10.446, de 8 de maio de 2002, 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, e o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 , Código Penal, Lei nº 8.072, de 25 de julho de 1990 (Lei de Crimes Hediondos); revoga a LEI Nº 14.967, DE 9 DE SETEMBRO DE 2024 Estatuto da Segurança Privada e dá outras providências.";"";"";"";"";"12/09/2024";"Aguardando Designação de Relator(a)";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2458293"
"SUG 12/2024 CLP";"Requer a realização de audiência pública para discussão da Greve dos(as) trabalhadores(as) do Instituto Nacional do Seguro Social - INSS iniciada em 16 de julho, a necessária valorização dos(as) servidores e a precarização do trabalho dos servidores e servidoras do instituto.";"";"";"";"";"12/08/2024";"Aguardando Parecer";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2451933"
"SUG 11/2024 CLP";"Sugere Projeto de Lei para criar o Piso Nacional dos Auxiliares de Serviços Gerais";"";"";"";"";"12/08/2024";"Aguardando Parecer";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2451931"
"SUG 10/2024 CLP";"Requer a realização de audiência pública para discussão dos 100 anos da previdencia e o desmonte do Instituto Nacional do Seguro Social  INSS e a precarização do trabalho dos servidores e servidoras do instituto.";"";"";"";"";"12/08/2024";"Aguardando Parecer";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2451923"
"SUG 9/2024 CLP";"Sugere realização de Audiência Pública sobre o PROJETO DE LEI N.º 1.176-A, DE 2011,  Lei das
Mestras e Mestres do Brasil.";"";"";"";"";"02/08/2024";"Aguardando Parecer";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2450689"
"SUG 8/2024 CLP";"Sugere projeto de lei visando regulamentar e definir regras que permitam a confecção,  soltura,  movimentação, resgate e realização de festivais e exposições de balões artesanais de papel de seda sem fogo ou solares em todo o território brasileiro.";"";"";"";"";"02/08/2024";"Aguardando Parecer";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2450688"
"SUG 7/2024 CLP";"Sugere Projeto de Lei que altera a redação do § 1º-A do artigo 32 da Lei nº. 9.605, de 12 de Fevereiro de 1998, para tratar de ato de abuso, maus-tratos, ferir ou mutilar animais silvestres, domésticos ou domesticados, nativos ou exóticos.";"";"";"";"";"03/07/2024";"Aguardando Parecer";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2445085"
"SUG 6/2024 CLP";"Sugere Projeto de Lei que insitui o dia nacional do Bombeiro Civil.";"";"";"";"";"25/06/2024";"Aguardando Parecer";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2443071"
"SUG 5/2024 CLP";"Sugere Audiência Pública para o debate acerca das informações sobre religião e laicidade na educação.";"";"";"";"";"25/06/2024";"Aguardando Providências Internas";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2443061"
"SUG 4/2024 CLP";"Sugere emenda ao PLP 12/2024, que dispõe sobre a relação de trabalho intermediado por	empresas operadoras de aplicativos de transporte remunerado privado individual de passageiros em veículos automotores de quatro rodas e estabelece mecanismos de inclusão previdenciária e outros direitos para melhoria das condições de trabalho.";"";"";"";"";"25/06/2024";"Aguardando Parecer";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2443051"
"SUG 3/2024 CLP";"Sugestão de Requerimento de Informação ao Ministério da Justiça e Segurança Pública para que forneça informações quanto à revisão dos diplomas federais que tratam do funcionamento das empresas de investigação privada pelo governo, e a regulamentação da profissão de detetive";"";"";"";"";"09/04/2024";"Aguardando Parecer";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2424972"
"SUG 2/2024 CLP";"Sugestão de PEC que visa ""Acrescentar dispositivo de cláusula pétrea do voto direto ao parágro único do artigo 75, da Constituição Federal""";"";"";"";"";"26/03/2024";"Aguardando Parecer";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2423620"
"SUG 1/2024 CLP";"Sugere a realização do XVI Seminário Nacional de Guardas Municipais e Segurança Pública na Câmara dos Deputados, com o tema: Violência Requer Prevenção, Guardas Municipais Já!";"";"";"";"";"25/03/2024";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2423292"
"
"
"Fonte";"Sistema de Informações Legislativas - Câmara dos Deputados"
"Data/Hora da pesquisa";"04/09/2025 22:10"
"Total de resultados";"20"
"Termo da pesquisa";"estados.codOrgao:5438"
"Ano";"2024"
"Tipo de proposição";"Sugestão"
