"Câmara dos Deputados"
"Relatório de Proposições"
"Resultado da Pesquisa"
"Proposições";"Ementa";"Explicação";"Autor";"UF";"Partido";"Apresentação";"Situação";"Link"
"REQ 81/2022 CLP";"Requer a realização de audiência pública visando ao lançamento e discussão do livro Pela inclusão os argumentos favoráveis à educação inclusiva e pela inconstitucionalidade do decreto nº 10.502/2020.";"";"Erika Kokay";"DF";"PT";"13/12/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2342033"
"REQ 80/2022 CLP";"Requer a realização de Evento de Premiação das entidades da Sociedade Civil que tiveram relevante participação nos trabalhos desenvolvidos pela Comissão de Legislação Participativa – CLP nos anos de 2021 e 2022.";"";"";"";"";"06/12/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2340946"
"REQ 79/2022 CLP";"Requer que seja aprovada a produção e impressão do Relatório Anual da Comissão de Legislação Participativa – CLP e das contribuições ao seminário Democratização do Orçamento Público.";"";"";"";"";"06/12/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2340944"
"REQ 78/2022 CLP";"Requer a realização de audiência pública visando à discussão do direito do militar temporário das forças armadas à proteção social e à assistência à saúde. ";"";"Erika Kokay";"DF";"PT";"29/11/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2339833"
"REQ 77/2022 CLP";"Solicita que seja convidado o Ministro do Tribunal de Contas da União, Senhor Augusto Nardes, a fim de prestar informações sobre sua manifestação em áudio enviado a interlocutores, referente a movimentações existentes em resistência ao reconhecimento do resultado eleitoral do pleito encerrado no último dia 30 de outubro, inclusive um movimento muito forte nas “casernas"" brasileiras.";"";"Paulo Teixeira";"SP";"PT";"21/11/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2338884"
"REQ 76/2022 CLP";"Requer a realização de Audiência Pública na Comissão de Legislação Participativa, a fim de discutir o processo de privatização do Metrô, subsidiária de Belo Horizonte da Companhia Brasileira de Trens Urbanos – CBTU, e das unidades da Centrais de Abastecimento de Minas Gerais – CEASAMINAS.  ";"";"Rogério Correia";"MG";"PT";"21/11/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2338812"
"REQ 75/2022 CLP";"Requer a realização de Audiência Pública para discussão da implantação do “Dia do Rio Doce”.
";"";"Leonardo Monteiro";"MG";"PT";"07/11/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2336651"
"REQ 74/2022 CLP";"Requer a realização de Audiência Pública para debater “A prevenção à violência contra crianças e adolescentes no Projeto Lei Orçamentária Anual 2023 (PLOA)”.";"";"Erika Kokay;Maria do Rosário";"DF;RS";"PT;PT";"03/11/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2336522"
"REQ 73/2022 CLP";"Requer a realização de audiência pública para debater o Sistema Nacional de Segurança Alimentar e Nutricional e enfrentamento à Fome";"";"Padre João";"MG";"PT";"26/10/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2336455"
"REQ 72/2022 CLP";"Requerem a realização de Audiência Pública para discutir sobre o orçamento e financiamento destinado à execução dos programas, projetos e serviços previstos pela Política Nacional de Assistência Social (PNAS) no Brasil.";"";"Erika Kokay;Benedita da Silva";"DF;RJ";"PT;PT";"20/10/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2336148"
"REQ 71/2022 CLP";"Requer que seja realizado pela Comissão de Legislação Participativa seminário relacionado a Revisão das Diretrizes Curriculares Nacionais dos Cursos de Geografia. ";"";"Pedro Uczai";"SC";"PT";"29/08/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2334380"
"REQ 70/2022 CLP";"Requer a realização de audiência pública com o objetivo de debater o direito à recuperação da saúde do militar temporário das forças armadas o direito à proteção social.";"";"Erika Kokay";"DF";"PT";"26/08/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2334369"
"REQ 69/2022 CLP";"Requer a realização de Audiência Pública para debater a segurança do processo eleitoral e a violência política.";"";"Pedro Uczai";"SC";"PT";"01/08/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2332965"
"REQ 68/2022 CLP";"Requer à Comissão de Legislação Participativa, aprovação de Moção de Aplauso e Reconhecimento à Universidade Católica de Goiás.";"";"Pedro Uczai";"SC";"PT";"11/07/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2332106"
"REQ 67/2022 CLP";"Requer a realização de Audiência Pública e a realização de Seminário em Santa Catarina, a fim de debater o futuro do Hospital Regional do Oeste (HRO).";"";"Pedro Uczai";"SC";"PT";"07/07/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2332003"
"REQ 66/2022 CLP";"Requer que seja realizado pela Comissão de Legislação Participativa audiência pública relacionada a segurança pública básica municipal. ";"";"Pedro Uczai";"SC";"PT";"04/07/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2331146"
"REQ 65/2022 CLP";"Requer que seja aprovada pela Comissão de Legislação Participativa moção de apoio pela indicação do dia 12 de março, com dia Nacional em Memória as Vítimas da Covid-19. 

";"";"Pedro Uczai";"SC";"PT";"04/07/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2331143"
"REQ 64/2022 CLP";"Requer aprovação de Moção de Apelo em defesa da manutenção da 3º Vara do Trabalho no município de Criciúma/SC e indicação da necessidade de se criar uma nova Vara do Trabalho no município de Itapema/SC.";"";"Pedro Uczai";"SC";"PT";"04/07/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2331128"
"REQ 63/2022 CLP";"Requerem a realização de audiência pública destinada a debater as condições dos presidiários e das presidiárias e de seus familiares no Brasil, a partir da realidade do Estado de São Paulo.";"";"Erika Kokay;Vicentinho";"DF;SP";"PT;PT";"30/06/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2331120"
"REQ 62/2022 CLP";"Requer a inclusão de convidados/as para a audiência pública que discutirá as denúncias de Frances Haugen, ex-funcionária do Facebook, de manipulação do discurso de ódio e da desinformação no Brasil com finalidades políticas. Referente ao req.nr. 059/2022

";"";"";"";"";"24/06/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2330248"
"REQ 61/2022 CLP";"Requer em complementariedade ao requerimento número 39 de 2022, que sejam incluídos o nomes abaixo relacionados para participar da audiência pública.";"";"Pedro Uczai";"SC";"PT";"20/06/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2329277"
"REQ 60/2022 CLP";"Requer o aditamento ao REQ 21/2022 - CLP, para alteração do tema e inclusão de convidado na realização de audiência pública. ";"";"Padre João";"MG";"PT";"15/06/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2329254"
"REQ 59/2022 CLP";"Requer a realização de audiência pública para discutir denúncias de Frances Haugen, ex-funcionária do Facebook, de manipulação do discurso de ódio e da desinformação no Brasil com finalidades políticas. ";"";"Talíria Petrone";"RJ";"PSOL";"15/06/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2329253"
"REQ 58/2022 CLP";"
Solicita a realização de  2 de Seminários conjunto entre a CLP e CINDRA, em continuidade ao Ciclo de debates,  para que seja debatido o tema: O papel do parlamento na implementação da Década da Ciência Oceânica: visões a partir das lutas populares e das experiências do poder público.
";"";"Joseildo Ramos;João Daniel";"BA;SE";"PT;PT";"15/06/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2329252"
"REQ 57/2022 CLP";"Requer a realização de Audiência Pública para debater “Os Direitos da Criança e do Adolescente no Brasil: 32 anos do ECA”, a ser realizada em julho de 2022. ";"";"Maria do Rosário;Frei Anastacio Ribeiro;Leonardo Monteiro;Célio Moura;Luiza Erundina;Padre João;Talíria Petrone;Erika Kokay";"RS;PB;MG;TO;SP;MG;RJ;DF";"PT;PT;PT;PT;PSOL;PT;PSOL;PT";"13/06/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2328837"
"REQ 56/2022 CLP";"Solicita audiência pública, conjunta com a Comissão de Trabalho, Administração de Serviço Público, para discutir ataques ao Sistema Previdenciário Complementar dos Trabalhadores e das Trabalhadoras.";"";"Rogério Correia;Alencar Santana";"MG;SP";"PT;PT";"13/06/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2328835"
"REQ 55/2022 CLP";"Requer a aprovação de recomendação ao excelentíssimo Ministro do Supremo Tribunal Federal Luís Roberto Barroso para que seja prorrogada a suspensão das ordens de despejo e desocupações até 31 de dezembro de 2022.";"";"Rogério Correia;Pedro Uczai;Marcon;Maria do Rosário;João Daniel;Waldenor Pereira;Leonardo Monteiro;Alencar Santana";"MG;SC;RS;RS;SE;BA;MG;SP";"PT;PT;PT;PT;PT;PT;PT;PT";"13/06/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2327208"
"REQ 54/2022 CLP";"Requeiro, em complementariedade aos requerimentos n. 12/2022 e n. 25/2022 a inclusão de instituições, organizações e movimentos sociais na participação das audiências públicas e mesas redondas no estado de Santa Catarina.";"";"Pedro Uczai";"SC";"PT";"13/06/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2327197"
"REQ 53/2022 CLP";"Requer a realização de Audiência Pública na Comissão de Legislação Participativa a fim de debater a ameaça de privatização da Petrobras, em especial da Refinaria Gabriel Passos (Regap).";"";"Rogério Correia";"MG";"PT";"13/06/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2327196"
