"Câmara dos Deputados"
"Relatório de Proposições"
"Resultado da Pesquisa"
"Proposições";"Ementa";"Explicação";"Autor";"UF";"Partido";"Apresentação";"Situação";"Link"
"REQ 125/2014 CLP";"Requer a realização de audiência pública para debater o caso Rafael Braga Vieira e a seletividade do sistema penal brasileiro contra os jovens negros e pobres.";"";"Chico Alencar;ARNALDO JORDY;Erika Kokay";"RJ;PA;DF";"PSOL;PPS;PT";"09/12/2014";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=818161"
"REQ 124/2014 CLP";"Requer a realização de Audiência Pública para discutir os resultados apontados no Relatório de Pesquisa ""100% não é mais o limite"": Riscos Psicossociais do Trabalho Bancário.  ";"";"Erika Kokay;ARNALDO JORDY";"DF;PA";"PT;PPS";"25/11/2014";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=796355"
"REQ 123/2014 CLP";"Requer a realização de audiência pública com o objetivo de debater o aumento do número de estupros no Brasil, conforme dados do Anuário Brasileiro de Segurança Pública 2014, além do recrudescimento desse tipo de violência contra mulheres dentro das universidades.               ";"";"Erika Kokay;ARNALDO JORDY";"DF;PA";"PT;PPS";"19/11/2014";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=786727"
"REQ 122/2014 CLP";"Requer seja realizada audiência pública nesta Comissão para debater os desdobramentos das denúncias apuradas pela Operação Lava Jato da Polícia Federal e seus reflexos na imagem da Petrobras e do Brasil.";"";"ARNALDO JORDY";"PA";"PPS";"18/11/2014";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=786649"
"REQ 121/2014 CLP";"Solicita seja realizada audiência pública conjunta para debater a situação do Hospital Universitário Clementino Fraga Filho.";"";"Chico Alencar;Glauber Braga";"RJ;RJ";"PSOL;PSB";"15/10/2014";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=623542"
"REQ 120/2014 CLP";"Requer a realização de Seminário Nacional para debater as condições de trabalho e saúde dos trabalhadores da mineração brasileira bem como os impactos sociais, econômicos e ambientais da atividade nas comunidades atingidas.";"";"NILMÁRIO MIRANDA;ZEQUINHA MARINHO";"MG;PA";"PT;PSC";"02/10/2014";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=622767"
"REQ 119/2014 CLP";"Requer Audiência Pública com o objetivo de discutir a situação da Casa de Saúde do Índio - CASAI.";"";"Erika Kokay;ARNALDO JORDY";"DF;PA";"PT;PPS";"30/09/2014";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=622754"
"REQ 118/2014 CLP";"Requer a realização de audiência pública no âmbito dessa Comissão, para discutir a Reestruturação do Instituto Nacional de Colonização e Reforma Agrária - INCRA e a valorização dos (as) servidores (as).";"";"Erika Kokay;ARNALDO JORDY;ZEQUINHA MARINHO";"DF;PA;PA";"PT;PPS;PSC";"06/08/2014";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=621547"
"REQ 117/2014 CLP";"Requer a realização de audiência pública para discutir o cumprimento da Lei n° 12.024/2009, que permite a alienação ou concessão de direito real de uso das áreas públicas rurais do Distrito Federal diretamente aos seus atuais ocupantes. ";"";"Erika Kokay;FERNANDO FERRO";"DF;PE";"PT;PT";"06/08/2014";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=621546"
"REQ 116/2014 CLP";"Requer a realização de audiência pública para debater políticas públicas de atenção às pessoas com doenças reumáticas. ";"";"Erika Kokay;FERNANDO FERRO";"DF;PE";"PT;PT";"05/08/2014";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=621193"
