"Câmara dos Deputados"
"Relatório de Proposições"
"Resultado da Pesquisa"
"Proposições";"Ementa";"Explicação";"Autor";"UF";"Partido";"Apresentação";"Situação";"Link"
"SUG 28/2022 CLP";"Sugere Projeto de Lei que reconheça como atividade de risco permanente as atribuições inerentes à magistratura e ao Ministério Público, torne qualificado o homicídio praticado contra os membros dessas carreiras, bem como lhes garanta outras medidas de proteção e dá outras providências.";"";"";"";"";"08/12/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2341778"
"SUG 27/2022 CLP";"Sugere a realização de Audiência Pública para debater o Programa de Microcrédito Orientado do Banco do Nordeste do Brasil.";"";"";"";"";"08/12/2022";"Aguardando Parecer";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2341771"
"SUG 26/2022 CLP";"Sugere Projeto de Lei que transforma a Consolidação das Leis do Trabalho (CLT) em Código de Processo do Trabalho.";"";"";"";"";"08/12/2022";"Aguardando Parecer";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2341761"
"SUG 25/2022 CLP";"Sugere emenda ao orçamento a fim de encaminhar recursos para incentivar os quintais produtivos das mulheres camponesas do Estado de Santa Catarina.";"";"";"";"";"07/11/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2336670"
"SUG 24/2022 CLP";"Sugere Emenda ao Orçamento para destinar recursos para o fomento da agricultura familiar.";"";"";"";"";"07/11/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2336657"
"SUG 23/2022 CLP";"Sugere Projeto de Lei que inclui o 13º salário no programa Bolsa Família.";"";"";"";"";"07/11/2022";"Aguardando Encaminhamento";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2336624"
"SUG 21/2022 CLP";"Sugere Emenda ao Orçamento para destinar recursos para a construção de um hospital da mulher.";"";"";"";"";"07/11/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2336614"
"SUG 20/2022 CLP";"Sugere Emenda ao Orçamento para destinar recursos para a construção de um hospital oftalmológico.";"";"";"";"";"18/10/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2335663"
"SUG 19/2022 CLP";"Sugere Emenda ao Orçamento para destinar recursos para a construção de um hospital do câncer.";"";"";"";"";"18/10/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2335662"
"SUG 18/2022 CLP";"Sugere Emenda ao Orçamento para destinar recursos para a construção de um hospital ortopédico.";"";"";"";"";"18/10/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2335661"
"SUG 17/2022 CLP";"Sugere Emenda ao Orçamento para destinar recursos para a construção de um Centro de Qualificação Profissionalizante.";"";"";"";"";"18/10/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2335659"
"SUG 16/2022 CLP";"Sugere Emenda ao Orçamento para destinar recursos para a construção de um metrô intermunicipal.";"";"";"";"";"18/10/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2335658"
"SUG 14/2022 CLP";"Sugere Projeto de Lei que revoga os privilégios concedidos às organizações religiosas e aos sabatistas, e dá outras providências.";"";"";"";"";"16/09/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2335089"
"SUG 13/2022 CLP";"Sugere Indicação (INC) ao Ministério da Educação (MEC) para resolução do conflito normativo sobre atuação de arquitetos e urbanistas em Engenharia de Segurança do Trabalho.";"";"";"";"";"13/09/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2335027"
"SUG 11/2022 CLP";"Sugere Projeto de Lei que declara a arquiteta e urbanista Rosa Grena Kliass patronesse da Arquitetura da Paisagem no Brasil.";"";"";"";"";"11/08/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2333955"
"SUG 10/2022 CLP";"Sugere a realização de Seminário para debater os 43 anos da Lei de Anistia.";"";"";"";"";"29/06/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2330816"
"SUG 8/2022 CLP";"Sugere a realização de Audiência Pública para tratar do dia mundial de combate ao trabalho infantil com enfoque ao tema ""Lei da Aprensizagem: entraves, percalços e conquistas ao longo dos 21 anos de promulgação"".";"";"";"";"";"06/06/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2326056"
"SUG 7/2022 CLP";"Sugere a realização do XIV Seminário Nacional de Guardas Municipais e Segurança Pública.";"";"";"";"";"10/05/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2322310"
"SUG 6/2022 CLP";"Sugere Audiência Pública para debater sobre as manifestações culturais e religiosas do povo brasileiro: quem somos, de onde viemos e para onde vamos";"";"";"";"";"06/05/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2322110"
"SUG 5/2022 CLP";"Sugere Audiência Pública para debater a violação dos direitos humanos contra comunidade bahá'í do Irã.";"";"";"";"";"06/05/2022";"Arquivada";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2322108"
"SUG 3/2022 CLP";"Sugere Projeto de Lei para incluir o direito de sonhar no rol dos direitos fundamentais.";"";"";"";"";"23/03/2022";"Aguardando Parecer";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2318566"
"SUG 2/2022 CLP";"Sugere a realização de audiência pública virtual para debater a criação do ""Dia Nacional do Detetive Particular"".";"";"";"";"";"16/03/2022";"Pronta para Pauta";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2318120"
"SUG 1/2022 CLP";"Sugere Projeto de Lei Complementar que revoga o art. 7º da Lei Complementar nº 173 de 2020 para impedir que os governantes e chefes de Poder atuais criem despesas novas para seus sucessores.";"";"";"";"";"16/03/2022";"Aguardando Parecer";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2318113"
"
"
"Fonte";"Sistema de Informações Legislativas - Câmara dos Deputados"
"Data/Hora da pesquisa";"04/09/2025 22:10"
"Total de resultados";"23"
"Termo da pesquisa";"estados.codOrgao:5438"
"Ano";"2022"
"Tipo de proposição";"Sugestão"
