2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
PP/MA;PT/RJ;REDE/PR;PT/RJ;PDT/CE;PT/MG;;PT/MG;PT/SC;SOLIDARIEDADE/MG;PRD/MG
PTB/RJ;PSDB/MG;PCdoB/CE;PMDB/RJ;MDB/RJ;PT/DF;;PSOL/SP;PT/MG;PDT/AP;UNIÌO/PR
PSC/PA;PMDB/RJ;PSOL/RJ;PCdoB/CE;PCdoB/CE;PSL/MG;;PT/SE;PSOL/SP;PL/MG;PRD/MG
PSOL/RJ;PT/DF;PSB/AP;PDT/GO;PROS/MG;PSB/BA;;PSB/MG;SOLIDARIEDADE/MG;PSOL/SP;PT/SE
SD/MA;PV/MG;PCdoB/MG;PSB/AP;PROS/RJ;PL/SE;;PT/SP;PL/DF;PT/MG;PT//MG
DEM/PB;PSB/RJ;PRB/MG;PV/PR;PDT/GO;PSL/RJ;;PT/SP;PT/TO;SOLIDARIEDADE/RJ;PT/SC
PTB/DF;PSD/MG;PT/PB;PT/MG;PSOL/RJ;PSOL/RJ;;PATRIOTA/MG;PSD/SP;PSOL/RJ;PT/BA
PSB/RJ;PSB/AP;PSOL/SP;PRB/MG;PDT/MA;PL/MG;;UNIÌO/SP;PL/RO;PT/SE;PSOL/RJ
PT/PE;PSB/SP;PTB/SP;PSOL/SP;PT/MG;PSOL/SP;;PSOL/RJ;PT/PB;PT/BA;PSOL/RJ
PDT/RO;PT/RS;PCdoB/SP;DEM/SP;PR/MG;PT/SP;;PT/BA;UNIÌO/SP;PT/MG;PSOL/RJ
PTB/SP;PTB/SP;PT/SC;PDT/AL;PSOL/SP;PT/MG;;PT/MG;PSOL/RJ;PT/MG;PSOL/SP
PT/MG;PSC/MG;PSD/MG;PDT/MG;MDB/RS;PDT/RS;;PSOL/RJ;PT/MG;PDT/RS;PT/MG
PMB/MA;PV/MA;PDT/AL;PMDB/RJ;PTB/SP;PT/MG;;;PSOL/SP;REPUBLICANOS/DF;PL/RO
PV/MA;PTC/MA;;;PT/MG;PT/MG;;;PT/MG;PSOL/RJ;PP/SP
;PMDB/RJ;;;PDT/RS;PSB/MG;;;PT/SC;;PT/DF
;;;;PDT/AL;;;;PDT/RS;;PT/BA
;;;;;;;;PSOL/RJ;;PL/MG
;;;;;;;;;;PRD/MA
;;;;;;;;;;PL/MG
